Token,Attribution_Score,Frequency,Final_Importance
List,2.4436821868985267e-08,9,2.199313968208674e-07
Equals,1.6723380551024458e-08,10,1.6723380551024458e-07
Enum,2.7029046032606138e-08,3,8.108713809781841e-08
JSON,8.688593599801009e-09,5,4.3442967999005044e-08
son,1.0818784298982642e-08,4,4.327513719593057e-08
to,6.782925459150601e-09,6,4.06975527549036e-08
get,7.910992423643126e-09,5,3.955496211821563e-08
Assert,1.1165111341113892e-08,3,3.349533402334168e-08
Many,1.3340644651471667e-08,2,2.6681289302943334e-08
age,1.3339894716635214e-08,2,2.667978943327043e-08
Hash,6.524778134453513e-09,4,2.609911253781405e-08
Parameters,1.2992588296900642e-08,2,2.5985176593801285e-08
size,1.2099242496788067e-08,2,2.4198484993576134e-08
put,7.496972539294822e-09,3,2.2490917617884465e-08
Set,1.1019695017600029e-08,2,2.2039390035200057e-08
Format,7.328963741448647e-09,3,2.1986891224345942e-08
Field,7.183230607554768e-09,3,2.1549691822664304e-08
class,7.002999690558509e-09,3,2.1008999071675527e-08
Node,9.988222790524581e-09,2,1.9976445581049163e-08
priority,1.9906480019926676e-08,1,1.9906480019926676e-08
iterations,1.817375028245749e-08,1,1.817375028245749e-08
name,5.565732791312783e-09,3,1.669719837393835e-08
Java,1.6561104709822416e-08,1,1.6561104709822416e-08
Class,7.824585979143706e-09,2,1.564917195828741e-08
That,7.767944613934485e-09,2,1.553588922786897e-08
json,5.0442308906217814e-09,3,1.5132692671865344e-08
codegen,1.4904994238840175e-08,1,1.4904994238840175e-08
Path,6.697873491945393e-09,2,1.3395746983890787e-08
replace,6.256794693459965e-09,2,1.251358938691993e-08
string,5.816837678196407e-09,2,1.1633675356392814e-08
new,2.210656702833491e-09,5,1.1053283514167456e-08
add,3.6067498605796278e-09,3,1.0820249581738883e-08
Type,5.119036333711691e-09,2,1.0238072667423381e-08
build,5.012082728017564e-09,2,1.0024165456035128e-08
Map,2.385047773861837e-09,4,9.540191095447348e-09
Resource,9.256218014286331e-09,1,9.256218014286331e-09
