Project_Group,Test_case,Tokens(Sorted by Importance),Attribution_Scores(Sorted),Predicted_Class,True_Class,Test_Pred_Logit,Test_Confidence_Score
3,"['@Test\npublic void testGetPartialRepairTasks() {\n    Node node = mockNode(""DC1"");\n    Node node2 = mockNode(""DC1"");\n    ImmutableList<LongTokenRange> vnodes = ImmutableList.of(new LongTokenRange(1, 2), new LongTokenRange(2, 3), new LongTokenRange(4, 5));\n    ReplicaRepairGroup replicaRepairGroup = new ReplicaRepairGroup(ImmutableSet.of(node, node2), vnodes);\n    RepairGroup repairGroup = builderFor(replicaRepairGroup).build(priority);\n    Collection<RepairTask> tasks = repairGroup.getRepairTasks();\n    assertThat(tasks.size()).isEqualTo(3);\n    Set<LongTokenRange> repairTaskRanges = new HashSet<>();\n    for (RepairTask repairTask : tasks) {\n        assertThat(repairTask.getTokenRanges().size()).isEqualTo(1);\n        LongTokenRange range = repairTask.getTokenRanges().iterator().next();\n        repairTaskRanges.add(range);\n        assertThat(repairTask.getReplicas()).containsExactlyInAnyOrder(node, node2);\n        assertThat(repairTask.getTableReference()).isEqualTo(tableReference);\n        assertThat(repairTask.getRepairConfiguration().getRepairParallelism()).isEqualTo(PARALLEL);\n    }\n    assertThat(repairTaskRanges).containsExactlyElementsOf(vnodes);\n}']",priority;Set;qual;repair;Node;build;Hash;Repair;node;Range,2.9802322387695312e-08;1.1641532182693481e-08;6.51925802230835e-09;6.05359673500061e-09;5.587935447692871e-09;5.587935447692871e-09;5.587935447692871e-09;5.587935447692871e-09;5.587935447692871e-09;5.238689482212067e-09,3,3,"[-1.3679929971694946, -3.0195863246917725, -4.007565498352051, -0.40354105830192566, -5.319878101348877, -5.1958441734313965]",0.6679506301879883
3,"['@Test\npublic void testGenerateNewDayPairs() {\n    PairCombinations pairs = getPairsList();\n    List<Developer> devs = getStandardDevs();\n    List<String> tracks = Arrays.asList(""track1"", ""track2"", ""track3"");\n    Map<Pair, Integer> pairsWeight = subject.buildPairsWeightFromPastPairing(pairs, devs);\n    subject.buildDevelopersPairingDays(pairs, devs);\n    DayPairs dayPairs = subject.generateNewDayPairs(tracks, devs, pairs, pairsWeight, getStandardCompanies());\n    assertThat(dayPairs.getTracks().size(), is(2));\n    assertThat(dayPairs.getTracks(), contains(""track1"", ""track2""));\n    assertThat(dayPairs.getPairByTrack(""track1""),\n    is(not(new Pair(Arrays.asList(new Developer(""dev1""), new Developer(""dev2""))))));\n    assertThat(dayPairs.getPairByTrack(""track2""),\n    is(not(new Pair(Arrays.asList(new Developer(""dev3""), new Developer(""dev4""))))));\n    boolean trackOneHasContext = dayPairs.getPairByTrack(""track1"").getFirstDev().hasContext() || dayPairs.getPairByTrack(""track1"").getSecondDev().hasContext();\n    boolean trackTwoHasContext = dayPairs.getPairByTrack(""track2"").getFirstDev().hasContext() || dayPairs.getPairByTrack(""track2"").getSecondDev().hasContext();\n    assertThat(trackOneHasContext, is(true));\n    assertThat(trackTwoHasContext, is(true));\n}']",airing;Day;Weight;Standard;Days;List;airs;List;Weight;Standard,3.259629011154175e-09;3.259629011154175e-09;3.026798367500305e-09;2.0954757928848267e-09;1.862645149230957e-09;1.3387762010097504e-09;1.1641532182693481e-09;1.1641532182693481e-09;1.1641532182693481e-09;1.1059455573558807e-09,3,3,"[-9.028377532958984, -10.222517013549805, -5.3256683349609375, -0.005355416797101498, -8.852339744567871, -8.64163875579834]",0.9946590065956116
3,"['@Test\npublic void kafkaTopicIsPattern() throws Exception {\n    to.expectedMessageCount(5);\n    to.expectedBodiesReceivedInAnyOrder(""message-0"", ""message-1"", ""message-2"", ""message-3"", ""message-4"");\n    to.allMessages().header(TOPIC).isEqualTo(""test"");\n    to.expectedHeaderValuesReceivedInAnyOrder(LAST_RECORD_BEFORE_COMMIT, null, null, null, null, null);\n    for (int k = 0; k < 5; k++) {\n        String msg = ""message-"" + k;\n        ProducerRecord<String, String> data = new ProducerRecord<>(TOPIC, ""1"", msg);\n        producer.send(data);\n    }\n    to.assertIsSatisfied(3000);\n    assertEquals(5, StreamSupport.stream(recordsCaptured.get(0).records(TOPIC).spliterator(), false).count());\n}']",Producer;Producer;Record;Record;to;send;stream;odies;new;TOPIC,1.341104507446289e-07;1.1920928955078125e-07;4.0978193283081055e-08;3.5390257835388184e-08;3.166496753692627e-08;2.9802322387695312e-08;1.6763806343078613e-08;1.4901161193847656e-08;1.30385160446167e-08;1.30385160446167e-08,0,4,"[-0.0012875846587121487, -7.017500400543213, -9.061071395874023, -9.568282127380371, -8.85362720489502, -9.691513061523438]",0.9987133741378784
3,"['@Test\npublic void extraSweepersGiveUpAfterFailingToAcquireEnoughTimes() throws InterruptedException {\n    int shards = 16;\n    int sweepers = 4;\n    int threads = shards / (sweepers / 2);\n    TimelockService stickyLockService = createStickyLockService();\n    createAndInitializeSweepersAndWaitForOneBackgroundIteration(sweepers, shards, threads, stickyLockService);\n    ArgumentCaptor<LockRequest> captor = ArgumentCaptor.forClass(LockRequest.class);\n    verify(stickyLockService, atLeast(shards * (shards / threads + 1) / 2 + shards * (threads * sweepers - shards)));\n    verify(stickyLockService, atMost(shards * ((threads + 1) * sweepers - shards) - sweepers * (sweepers - 1) / 2));\n    Set<String> requestedLockIds = captor.getAllValues().stream()\n    .map(LockRequest::getLockDescriptors)\n    .map(Iterables::getOnlyElement)\n    .map(LockDescriptor::getLockIdAsString)\n    .collect(Collectors.toSet());\n    Set<String> expectedLockIds = IntStream.range(0, shards).boxed()\n    .map(ShardAndStrategy::conservative)\n    .map(ShardAndStrategy::toText)\n    .collect(Collectors.toSet());\n    assertThat(requestedLockIds).hasSameElementsAs(expectedLockIds);\n}']",Timelock;map;Descriptors;get;shards;Service;Background;Exception;Set;Element,1.5425030142068863e-09;1.4551915228366852e-09;1.1641532182693481e-09;1.1059455573558807e-09;9.313225746154785e-10;9.313225746154785e-10;9.313225746154785e-10;8.731149137020111e-10;8.149072527885437e-10;6.402842700481415e-10,1,1,"[-9.002963066101074, -0.00033146608620882034, -9.172757148742676, -11.110854148864746, -10.151488304138184, -9.891594886779785]",0.9996685981750488
3,"['@Test\npublic void testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic() throws Exception {\n    final String topicName = ""persistent"";\n    final int numOfMessage = 10;\n    final int halfMessages = numOfMessage / 2;\n    admin.topics().createPartitionedTopic(topicName, 3);\n    Producer<byte[]> producer = pulsarClient.newProducer().topic(topicName).create();\n    long l = System.currentTimeMillis();\n    for (int i = 0; i < numOfMessage; i++) {\n        producer.send(String.format(""msg num %d"", i).getBytes());\n    }\n    Reader<byte[]> reader = pulsarClient.newReader().topic(topicName).startMessageId(earliest).create();\n    int plusTime = (halfMessages + 1) * 100;\n    reader.seek(l + plusTime);\n    Set<String> messageSet = Sets.newHashSet();\n    for (int i = halfMessages + 1; i < numOfMessage; i++) {\n        Message<byte[]> message = reader.readNext();\n        String receivedMessage = new String(message.getData());\n        Assert.assertTrue(messageSet.add(receivedMessage), ""Received duplicate message "" + receivedMessage);\n    }\n    reader.close();\n    producer.close();\n}']",Mill;seek;earliest;Time;Time;Messages;Middle;num;producer;Bytes,4.016328603029251e-09;3.725290298461914e-09;3.026798367500305e-09;2.7939677238464355e-09;1.862645149230957e-09;1.673470251262188e-09;1.6298145055770874e-09;1.3969838619232178e-09;1.280568540096283e-09;1.1641532182693481e-09,2,2,"[-9.435686111450195, -8.75799560546875, -0.0004323977918829769, -8.889557838439941, -10.226758003234863, -10.761553764343262]",0.9995676875114441
3,"['@Test\npublic void testReacquireLocksAfterSessionLost() throws Exception {\n    @Cleanup\n    MetadataStoreExtended store = MetadataStoreExtended.create(zks.getConnectionString(), MetadataStoreConfig.builder().sessionTimeoutMillis(2000).build());\n    BlockingQueue<SessionEvent> sessionEvents = new LinkedBlockingQueue<>();\n    store.registerSessionListener(sessionEvents::add);\n    @Cleanup\n    CoordinationService coordinationService = new CoordinationServiceImpl(store);\n    @Cleanup\n    LockManager<String> lm1 = coordinationService.getLockManager(String.class);\n    String path = newKey();\n    ResourceLock<String> lock = lm1.acquireLock(path, ""value-1"").join();\n    zks.expireSession(((ZKMetadataStore) (store)).getZkSessionId());\n    SessionEvent e = sessionEvents.poll(5, TimeUnit.SECONDS);\n    assertEquals(e, ConnectionLost);\n    e = sessionEvents.poll(10, TimeUnit.SECONDS);\n    assertEquals(e, SessionLost);\n    e = sessionEvents.poll(10, TimeUnit.SECONDS);\n    assertEquals(e, Reconnected);\n    e = sessionEvents.poll(10, TimeUnit.SECONDS);\n    assertEquals(e, SessionReestablished);\n    Awaitility.await().untilAsserted(() -> {\n        assertFalse(lock.getLockExpiredFuture().isDone());\n    });\n    assertTrue(store.get(path).join().isPresent());\n}']",Events;add;get;Linked;session;acquire;Connection;Service;After;Lock,9.313225746154785e-09;5.587935447692871e-09;3.259629011154175e-09;2.2118911147117615e-09;2.0954757928848267e-09;2.0954757928848267e-09;1.862645149230957e-09;1.6298145055770874e-09;1.6298145055770874e-09;1.3969838619232178e-09,0,0,"[-0.0008011230966076255, -7.539858818054199, -9.048972129821777, -9.985028266906738, -9.586660385131836, -10.20175838470459]",0.9991990923881531
3,"['@Test\npublic void testConsumerBacklogEvictionTimeQuotaWithEmptyLedger() throws Exception {\n    assertEquals(admin.namespaces().getBacklogQuotaMap(""prop/ns-quota""), Maps.newHashMap());\n    admin.namespaces().setBacklogQuota(""prop/ns-quota"", BacklogQuota.builder().limitTime(TIME_TO_CHECK_BACKLOG_QUOTA).retentionPolicy(consumer_backlog_eviction).build(), message_age);\n    PulsarClient client = PulsarClient.builder().serviceUrl(adminUrl.toString()).statsInterval(0, TimeUnit.SECONDS).build();\n    final String topic = ""persistent"";\n    final String subName = ""c1"";\n    Consumer<byte[]> consumer = client.newConsumer().topic(topic).subscriptionName(subName).subscribe();\n    Producer<byte[]> producer = createProducer(client, topic);\n    producer.send(new byte[1024]);\n    consumer.receive();\n    admin.topics().unload(topic);\n    PersistentTopicInternalStats internalStats = admin.topics().getInternalStats(topic);\n    assertEquals(internalStats.ledgers.size(), 2);\n    assertEquals(internalStats.ledgers.get(1).entries, 0);\n    TopicStats stats = admin.topics().getStats(topic);\n    assertEquals(stats.getSubscriptions().get(subName).getMsgBacklog(), 1);\n    TimeUnit.SECONDS.sleep(TIME_TO_CHECK_BACKLOG_QUOTA);\n    Awaitility.await().pollInterval(Duration.ofSeconds(1)).atMost(Duration.ofSeconds(TIME_TO_CHECK_BACKLOG_QUOTA)).untilAsserted(() -> {\n        rolloverStats();\n        PersistentTopicInternalStats latestInternalStats = admin.topics().getInternalStats(topic);\n        assertEquals(latestInternalStats.ledgers.size(), 2);\n        assertEquals(latestInternalStats.ledgers.get(1).entries, 0);\n        TopicStats latestStats = admin.topics().getStats(topic);\n        assertEquals(latestStats.getSubscriptions().get(subName).getMsgBacklog(), 0);\n    });\n    client.close();\n}']",Backlog;BACKLOG;Unit;Time;Backlog;limit;Time;CHECK;Url;poll,4.6566128730773926e-09;3.259629011154175e-09;3.259629011154175e-09;3.14321368932724e-09;2.9103830456733704e-09;2.7939677238464355e-09;2.561137080192566e-09;2.561137080192566e-09;1.862645149230957e-09;1.862645149230957e-09,0,0,"[-0.0008114859228953719, -7.548858165740967, -8.96051025390625, -9.952765464782715, -9.55136775970459, -10.196220397949219]",0.9991888403892517
3,"['@Test\npublic void testTopicLevelInActiveTopicApi() throws Exception {\n    super.resetConfig();\n    conf.setSystemTopicEnabled(true);\n    conf.setTopicLevelPoliciesEnabled(true);\n    super.baseSetup();\n    Thread.sleep(2000);\n    final String topicName = ""persistent://prop/ns-abc/testMaxInactiveDuration-"" + UUID.randomUUID().toString();\n    admin.topics().createPartitionedTopic(topicName, 3);\n    InactiveTopicPolicies inactiveTopicPolicies = admin.topics().getInactiveTopicPolicies(topicName);\n    assertNull(inactiveTopicPolicies);\n    InactiveTopicPolicies policies = new InactiveTopicPolicies();\n    policies.setDeleteWhileInactive(true);\n    policies.setInactiveTopicDeleteMode(InactiveTopicDeleteMode.delete_when_no_subscriptions);\n    policies.setMaxInactiveDurationSeconds(10);\n    admin.topics().setInactiveTopicPolicies(topicName, policies);\n    for (int i = 0; i < 50; i++) {\n        if (admin.topics().getInactiveTopicPolicies(topicName) != null) {\n            break;\n        }\n        Thread.sleep(100);\n    }\n    assertEquals(admin.topics().getInactiveTopicPolicies(topicName), policies);\n    admin.topics().removeInactiveTopicPolicies(topicName);\n    for (int i = 0; i < 50; i++) {\n        if (admin.topics().getInactiveTopicPolicies(topicName) == null) {\n            break;\n        }\n        Thread.sleep(100);\n    }\n    assertNull(admin.topics().getInactiveTopicPolicies(topicName));\n    super.internalCleanup();\n}']",sleep;admin;Second;sleep;subscriptions;Inactive;UID;Inactive;set;Inactive,5.238689482212067e-10;5.238689482212067e-10;5.238689482212067e-10;4.656612873077393e-10;4.511093720793724e-10;3.92901711165905e-10;3.4924596548080444e-10;3.383320290595293e-10;2.837623469531536e-10;2.801243681460619e-10,0,0,"[-0.0007938570925034583, -7.555376052856445, -9.089988708496094, -9.970869064331055, -9.526846885681152, -10.182291030883789]",0.9992064833641052
3,"['@Test\npublic void testRepairSuccessfully() throws InterruptedException {\n    Collection<LongTokenRange> ranges = new ArrayList<>();\n    LongTokenRange range1 = new LongTokenRange(1, 2);\n    LongTokenRange range2 = new LongTokenRange(3, 4);\n    ranges.add(range1);\n    ranges.add(range2);\n    final RepairTask repairTask = new RepairTask.Builder().withJMXProxyFactory(jmxProxyFactory).withTableReference(myTableReference).withTokenRanges(ranges).withTableRepairMetrics(myTableRepairMetrics).withRepairHistory(repairHistory).withJobId(jobId).withReplicas(participants).build();\n    CountDownLatch cdl = startRepair(repairTask, false);\n    Notification notification = new Notification(""progress"", ""repair:1"", 0, getRepairMessage(range1));\n    notification.setUserData(getNotificationData(PROGRESS.ordinal(), 1, 2));\n    proxy.notify(notification);\n    notification = new Notification(""progress"", ""repair:1"", 1, getRepairMessage(range2));\n    notification.setUserData(getNotificationData(PROGRESS.ordinal(), 2, 2));\n    proxy.notify(notification);\n    notification = new Notification(""progress"", ""repair:1"", 2, ""Done with repair"");\n    notification.setUserData(getNotificationData(COMPLETE.ordinal(), 2, 2));\n    proxy.notify(notification);\n    cdl.await();\n    assertThat(repairTask.getUnknownRanges()).isNull();\n    assertThat(repairTask.getCompletedRanges()).containsExactlyElementsOf(ranges);\n    assertThat(proxy.myOptions.get(RANGES_KEY)).isNotEmpty();\n    verify(myTableRepairMetrics).repairTiming(eq(TABLE_REFERENCE), anyLong(), any(TimeUnit.class), eq(true));\n    verify(repairSessions.get(range1)).start();\n    verify(repairSessions.get(range2)).start();\n    verify(repairSessions.get(range1)).finish(eq(SUCCESS));\n    verify(repairSessions.get(range2)).finish(eq(SUCCESS));\n}']",Time;eq;start;eq;my;Exception;Job;with;mx;repair,5.3551048040390015e-09;2.0954757928848267e-09;1.7462298274040222e-09;1.280568540096283e-09;1.0477378964424133e-09;8.149072527885437e-10;8.149072527885437e-10;6.984919309616089e-10;6.984919309616089e-10;6.984919309616089e-10,0,3,"[-0.0009091534884646535, -7.449181079864502, -8.709488868713379, -9.83827018737793, -9.584734916687012, -10.13172721862793]",0.9990912675857544
3,"['@Test\npublic void testWithRevisions() {\n    Country de = new Country();\n    de.code = ""de"";\n    de.name = ""Deutschland"";\n    countryRepository.save(de);\n    de.name = ""Germany"";\n    countryRepository.save(de);\n    Revisions<Integer, Country> revisions = countryRepository.findRevisions(de.id);\n    assertThat(revisions).hasSize(2);\n    Iterator<Revision<Integer, Country>> iterator = revisions.iterator();\n    Integer firstRevisionNumber = iterator.next().getRevisionNumber().get();\n    Integer secondRevisionNumber = iterator.next().getRevisionNumber().get();\n    assertThat(countryRepository.findRevision(de.id, firstRevisionNumber).get().getEntity().name)\n    .isEqualTo(""Deutschland"");\n    assertThat(countryRepository.findRevision(de.id, secondRevisionNumber).get().getEntity().name).isEqualTo(""Germany"");\n}']",iterator;Germany;Revisions;revisions;get;get;save;Revision;Revision;get,2.1420419216156006e-08;2.0489096641540527e-08;2.0489096641540527e-08;1.6298145055770874e-08;1.4901161193847656e-08;1.30385160446167e-08;1.210719347000122e-08;1.1175870895385742e-08;1.1175870895385742e-08;1.1175870895385742e-08,3,4,"[-8.538260459899902, -10.079894065856934, -4.8663554191589355, -0.008410747162997723, -8.418017387390137, -8.44216251373291]",0.9916244149208069
