Token,Attribution_Score,Frequency,Final_Importance
List,2.4436821868985267e-08,9,5.6267861755676364e-08
Equals,1.6723380551024458e-08,10,4.010091516850976e-08
Enum,2.7029046032606138e-08,3,3.7470214101451835e-08
JSON,8.688593599801009e-09,5,1.5567869856717732e-08
Set,1.1019695017600029e-08,2,1.2106372363710131e-08
Java,1.6561104709822416e-08,1,1.1479283036571439e-08
Node,9.988222790524581e-09,2,1.0973184299625182e-08
Hash,6.524778134453513e-09,4,1.0501225299810524e-08
put,7.496972539294822e-09,3,1.039301075669508e-08
codegen,1.4904994238840175e-08,1,1.0331354732914295e-08
Format,7.328963741448647e-09,3,1.0160101107622395e-08
Field,7.183230607554768e-09,3,9.958072085876982e-09
class,7.002999690558509e-09,3,9.708218981945599e-09
Class,7.824585979143706e-09,2,8.596186310427468e-09
That,7.767944613934485e-09,2,8.53395941056168e-09
name,5.565732791312783e-09,3,7.71574398409698e-09
Path,6.697873491945393e-09,2,7.358366126195591e-09
json,5.0442308906217814e-09,3,6.992788839855739e-09
replace,6.256794693459965e-09,2,6.873791537908536e-09
Resource,9.256218014286331e-09,1,6.415921419250746e-09
string,5.816837678196407e-09,2,6.3904493544542474e-09
xy,9.19895326578768e-09,1,6.376228520283431e-09
Results,8.376407067967053e-09,1,5.806082942383761e-09
Type,5.119036333711691e-09,2,5.623836222354209e-09
build,5.012082728017564e-09,2,5.506335676821278e-09
ANNOTATIONS,7.452497119420087e-09,1,5.165677366457147e-09
URI,7.3591626126301435e-09,1,5.100982816226745e-09
many,7.269500112982996e-09,1,5.038833507394367e-09
add,3.6067498605796278e-09,3,5.0000169936914894e-09
Abstract,6.6244418839289665e-09,1,4.591713214628575e-09
ounding,6.497051951992461e-09,1,4.503413242475064e-09
Diamond,6.2557577867883304e-09,1,4.336160872178255e-09
Annotations,6.107798277560361e-09,1,4.233603155519854e-09
Opt,5.796386648437846e-09,1,4.017749062800003e-09
Doe,5.760940224863732e-09,1,3.993179474238673e-09
new,2.210656702833491e-09,5,3.960965080514378e-09
API,5.6928797440014556e-09,1,3.946003543821432e-09
Content,5.669433533750378e-09,1,3.929751869291082e-09
Builder,5.5842713786447015e-09,1,3.870721961589174e-09
Map,2.385047773861837e-09,4,3.838586310219793e-09
sub,5.452125084737247e-09,1,3.779125130545775e-09
Object,2.2977637605114953e-09,4,3.698108109984349e-09
okens,5.231904669916743e-09,1,3.6264799709112012e-09
params,4.798842677400383e-09,1,3.3263042717908148e-09
Scheme,4.59947663289384e-09,1,3.1881142601417155e-09
qual,4.35454250435896e-09,1,3.0183388595248567e-09
length,4.176676254852296e-09,1,2.8950513701625405e-09
Weight,4.168567740991946e-09,1,2.8894309766417078e-09
Controller,4.139528969604456e-09,1,2.869302834127544e-09
repair,4.043503754047606e-09,1,2.8027432267016524e-09
obj,2.0068732405065237e-09,3,2.782117056796596e-09
Repair,3.732465003736252e-09,1,2.5871475938784484e-09
node,3.732465003736252e-09,1,2.5871475938784484e-09
properties,3.722710140152685e-09,1,2.5803860376887525e-09
