Ground-truth_Fold_0,Ground-truth_Fold_1,Ground-truth_Fold_2,Ground-truth_Fold_3,Ground-truth_Fold_4,Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,4.0,4.0,0.0,1.0,6.0,4.0,1.0,1.0,1.0,[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,"['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'verify', 'size', 'is']",[],"['time', 'sleep', 'ts', 'value', 'json']"
2.0,0.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,1.0,1.0,0.0,4.0,6.0,1.0,1.0,1.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
3.0,2.0,0.0,3.0,0.0,3.0,1.0,1.0,3.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,2.0,1.0,4.0,3.0,1.0,6.0,2.0,1.0,1.0,"['Thread', 'race', 'condition', 'assert', 'join']",[],[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,6.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Timer', 'registry', 'scheduled', 'methods', 'count']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
4.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', '1000', ';', 'for']"
4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['sleep', 'Thread', 'wait', 'time', 'sleep']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
4.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
2.0,4.0,4.0,3.0,0.0,6.0,1.0,1.0,1.0,6.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
0.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,6.0,1.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
1.0,1.0,4.0,0.0,4.0,1.0,6.0,1.0,1.0,4.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[]
0.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,"['Thread', 'sleep', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['DateTime', 'now', 'DateTimeZone', 'UTC', 'assertThat']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
0.0,4.0,2.0,2.0,0.0,1.0,1.0,6.0,2.0,2.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['System', 'currentTimeMillis', 'when', 'thenReturn', 'now']","['try', 'catch', 'finally', 'await', 'assert']"
4.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,6.0,2.0,[],"['iterator', 'next', 'hasNext', 'assertThat', 'isFalse']","['Thread', 'lock', 'synchronized', 'race', 'volatile']",[],"['Instant', 'truncatedTo', 'ChronoUnit', 'MILLIS', 'now']"
4.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,6.0,1.0,"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['time', 'sleep', 'assert', 'assertEquals', 'ms']",[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']"
