Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
1.0,6.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,6.0,1.0,1.0,[],[],[],[],[]
1.0,6.0,1.0,1.0,6.0,[],[],[],[],[]
1.0,1.0,6.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,6.0,1.0,6.0,[],[],[],[],[]
1.0,1.0,6.0,6.0,6.0,[],[],[],[],[]
6.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,6.0,6.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,6.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,6.0,[],[],[],[],[]
1.0,6.0,1.0,6.0,6.0,[],[],[],[],[]
1.0,6.0,1.0,6.0,6.0,[],[],[],[],[]
1.0,6.0,1.0,1.0,6.0,[],[],[],[],[]
6.0,1.0,2.0,6.0,6.0,[],[],[],[],[]
6.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,6.0,6.0,6.0,[],[],[],[],[]
6.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
1.0,6.0,1.0,1.0,6.0,[],[],[],[],[]
6.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,1.0,6.0,[],[],[],[],[]
6.0,1.0,6.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,6.0,1.0,1.0,[],[],[],[],[]
1.0,6.0,6.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,1.0,1.0,[],[],[],[],[]
6.0,1.0,6.0,1.0,1.0,[],[],[],[],[]
6.0,6.0,6.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,1.0,1.0,6.0,[],[],[],[],[]
1.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,6.0,1.0,6.0,"['OneTimeWorkRequestBuilder', 'convert', 'workSpec', 'calculateNextRunTime', 'now']",[],[],[],[]
6.0,6.0,6.0,1.0,6.0,[],[],[],[],[]
1.0,1.0,6.0,6.0,1.0,[],[],[],[],[]
6.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
6.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,1.0,1.0,[],[],[],[],[]
6.0,6.0,1.0,1.0,6.0,[],[],[],[],[]
6.0,1.0,1.0,1.0,6.0,[],[],[],[],[]
1.0,6.0,6.0,1.0,6.0,[],[],[],[],[]
6.0,6.0,6.0,1.0,1.0,[],[],[],[],[]
6.0,1.0,1.0,1.0,1.0,[],[],[],[],[]
6.0,1.0,6.0,6.0,6.0,[],[],[],[],[]
1.0,6.0,1.0,6.0,6.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,6.0,[],[],[],[],[]
1.0,6.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,1.0,6.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,1.0,6.0,[],[],[],[],[]
1.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
6.0,2.0,1.0,1.0,1.0,[],[],[],[],"['4', '10', '1', '2', '3']"
1.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,6.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,1.0,1.0,6.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,6.0,6.0,1.0,[],[],[],[],[]
1.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
6.0,6.0,1.0,1.0,6.0,[],[],[],[],[]
6.0,1.0,1.0,6.0,6.0,[],[],[],[],[]
6.0,1.0,1.0,6.0,2.0,[],[],[],[],[]
6.0,6.0,1.0,1.0,1.0,[],[],[],[],[]
1.0,1.0,6.0,1.0,6.0,[],[],[],[],[]
1.0,1.0,1.0,6.0,1.0,[],[],[],[],[]
