Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
6.0,6.0,1.0,6.0,1.0,[],[],"['String', 'dir', 'contextCfgItemName', 'LocalDirAllocator', 'isContextValid']",[],"['runRead', 'runWrite', 'function', 'function_1', 'function_2']"
1.0,6.0,1.0,1.0,6.0,"['RobustJobSchedulerWrapper', 'scheduleRecurring', 'AtomicInteger', 'jobHandle', 'cancelAndWaitTermination']",[],"['TestTimeLimitExceededListener', 'startTimer', 'WORKSPEC_ID_1', 'Thread', 'sleep']","['if', 'Build', 'VERSION', 'SDK_INT', 'getNanoTime']",[]
6.0,6.0,6.0,1.0,6.0,[],[],[],"['Thread', 'jobHandle', 'scheduleRecurring', 'IllegalStateException', 'count']",[]
6.0,6.0,6.0,6.0,1.0,[],[],[],[],"['NamingEventCoordinator', 'CollectingListener', 'EventContext', 'ObjectAdded', 'test']"
1.0,1.0,6.0,1.0,6.0,"['TestEnum', 'getFieldNames', 'List', 'String', 'CollUtil']","['for', 'loop', 'send', 'topic', 'readNext']",[],"['Map', 'Multimap', 'ImmutableMap', 'Multimaps', 'JSON']",[]
6.0,1.0,1.0,1.0,6.0,[],"['Thread', 'lock', 'synchronized', 'race', 'volatile']","['token1', 'token2', 'token3', 'token4', 'token5']","['ProducerRecord', 'send', 'topic', 'message-', 'recordsCaptured', 'get', 'spliterator']",[]
1.0,1.0,1.0,6.0,1.0,"['Thread', 'sleep', 'synchronized', 'finishedEvents', 'count']","['FileSystem', 'System', 'currentTimeMillis', 'bench', 'getConf']","['Thread', 'latch01', 'latch02', 'await', 'timer']",[],"['Name', 'bind', 'lookup', 'LinkRef', 'namingContext']"
1.0,6.0,6.0,6.0,1.0,"['FileSystem', 'tStart', 'System', 'currentTimeMillis', 'execTime']",[],[],[],"['Thread', 'sleep', 'synchronized', 'race', 'volatile']"
1.0,6.0,6.0,1.0,1.0,"['createAddress', 'createAddOperation', 'CompositeOperationBuilder', 'addStep', 'executeOperation']",[],[],"['Country', 'repository', 'save', 'findRevisions', 'revisions']","['FileSystem', 'tStart', 'execTime', 'bench', 'fs']"
1.0,1.0,6.0,6.0,6.0,"['HftpFileSystem', 'URI', 'Configuration', 'FileSystem', 'get', 'defaultPort']","['Tomcat', 'Context', 'StandardContext', 'ExecutorServlet', 'Thread']",[],[],[]
1.0,1.0,1.0,1.0,6.0,"['Thread', 'synchronized', 'race', 'work', 'db']","['CompositeName', ', ', ', ', ', ']","['Reference', 'namingStore', 'CompositeName', 'namingContext', 'String']","['testCollectorContextWithKeyword', 'validate', 'getValidationMessages', 'getCollectorContext', 'set']",[]
